trait	group	DPRMaZ	SAPRMaZ	SDAPRMaZ	SSAPRMaZ	CDPRMaZ	CSAPRMaZ	XNPRMaZ	XADPRMaZ	XASAPRMaZ	PNPRMaZ	PADPRMaZ	PASAPRMaZ	DPRMZ	SAPRMZ	SDAPRMZ	SSAPRMZ	CDPRMZ	CSAPRMZ	XNPRMZ	XADPRMZ	XASAPRMZ	PNPRMZ	PADPRMZ	PASAPRMZ	DPREZ	SAPREZ	SDAPREZ	SSAPREZ	CDPREZ	CSAPREZ	XNPREZ	XADPREZ	XASAPREZ	PNPREZ	PADPREZ	PASAPREZ	DLRMaZ	SALRMaZ	SDALRMaZ	SSALRMaZ	CDLRMaZ	CSALRMaZ	XNLRMaZ	XADLRMaZ	XASALRMaZ	PNLRMaZ	PADLRMaZ	PASALRMaZ	DLRMZ	SALRMZ	SDALRMZ	SSALRMZ	CDLRMZ	CSALRMZ	XNLRMZ	XADLRMZ	XASALRMZ	PNLRMZ	PADLRMZ	PASALRMZ	DLREZ	SALREZ	SDALREZ	SSALREZ	CDLREZ	CSALREZ	XNLREZ	XADLREZ	XASALREZ	PNLREZ	PADLREZ	PASALREZ	DCRMaZ	SACRMaZ	SDACRMaZ	SSACRMaZ	CDCRMaZ	CSACRMaZ	XNCRMaZ	XADCRMaZ	XASACRMaZ	PNCRMaZ	PADCRMaZ	PASACRMaZ	DCRMZ	SACRMZ	SDACRMZ	SSACRMZ	CDCRMZ	CSACRMZ	XNCRMZ	XADCRMZ	XASACRMZ	PNCRMZ	PADCRMZ	PASACRMZ	DCREZ	SACREZ	SDACREZ	SSACREZ	CDCREZ	CSACREZ	XNCREZ	XADCREZ	XASACREZ	PNCREZ	PADCREZ	PASACREZ
LX9801	temperate	0.1045	0.008	0.043	0.001	615	700000	5	0.0095	0.000076558	16	0.0024375	0.000003714	0.097	0.007	0.0385	0.001	585	600000	4	0.009	0.00006045	14	0.002283543	3.86E-06	0.092	0.007	0.039	0.001	530	600000	4	0.009875	0.000074985	14	0.002214286	4.34E-06	0.0335	79955	0.011	0.00009425	225	0.0008938	1	0.005	0.00001687	6	0.000994633	8.77E-07	0.0365	0.000941	0.011	0.00009086	255	85014	1	0.005	0.00001835	6	0.001	1.20E-06	0.032	0.0007998	0.0115	0.000116	205	68380	1	0.005	0.00002096	6	0.0015	1.49E-06	0.0975	0.008	0.043	0.001	545	700000	5	0.0102	0.000082528	15	0.002333333	3.58E-06	0.107	0.008	0.003809524	0.001	1031.904762	700000	6	0.00725	0.000042405	15	0.002066667	4.29E-06	0.1195	0.01	0.0475	0.002	720	800000	5	0.0108	0.000094044	14	0.002642857	5.53E-06
CIMBL1	tropical/subtropical	0.0835	0.005	0.0385	0.001	450	400000	5	0.0078	0.000046622	15	0.002533333	4.48E-06	0.092	0.006	0.0425	0.001	495	500000	5	0.0083	0.00005299	15	0.002133333	3.89E-06	0.0775	0.005	0.037	0.001	405	400000	5	0.0071	0.00003381	14	0.002071429	3.48E-06	0.0565	256670	0.024	0.0004333	325	0.003	3	0.0075	0.00004409	9	0.002333333	3.65E-06	0.0555	0.002	0.0265	0.0005458	290	145420	4	0.00625	0.00002936	9	0.001309333	1.34E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.093	0.007	0.0445	0.002	485	500000	6	0.009833333	7.71E-05	17	0.002294118	4.04E-06	0.078	0.004	0.003047619	0.0007591	749.5238095	324090	6	0.006083333	2.23E-05	18	0.002	2.99E-06	0.09	0.007	0.0415	0.001	485	600000	6	0.009583333	0.000072965	16	0.002625	4.82E-06
GEMS55	temperate	0.0875	0.006	0.0415	0.001	460	500000	5	0.0108	0.000086788	13	0.002076923	0.000003714	0.0805	0.005	0.033	0.0009164	475	408360	6	0.006083333	0.000022942	14	0.002571429	3.79E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0325	73870	0.0155	0.0002067	170	0.0009454	2	0.005	0.000018565	6	0.001833333	2.01E-06	0.047	0.002	0.0175	0.0002415	295	175850	3	0.0055	2.20E-05	8	0.001875	0.000002267	0.0405	0.001	0.016	0.0002023	245	79770	2	0.006	0.000027485	7	0.001857143	2.09E-06	0.0325	0.0009454	0.0155	0.0002067	170	73870	8	0.0100625	7.70E-05	17	0.002411765	3.86E-06	0.09	0.006	0.003761905	0.001	862.3809524	500000	6	0.008833333	6.10E-05	17	0.002117647	3.62E-06	0.103	0.008	0.047	0.002	560	600000	7	0.0105	0.00008698	19	0.002263158	3.75E-06
DH3732	temperate	0.0735	0.005	0.0335	0.0008555	400	414450	4	0.009625	7.19E-05	12	0.001916667	2.94E-06	0.0775	0.005	0.0315	0.0008278	460	417220	4	0.008625	0.000062865	12	0.001916667	3.14E-06	0.0805	0.005	0.033	0.0008427	475	415730	4	0.00925	6.87E-05	13	0.001923077	2.67E-06	0.041	69560	0.019	0.0003044	220	0.001	3	0.005666667	0.00002499	11	0.001262836	1.26E-06	0.0395	0.001	0.0155	0.0001939	240	80610	2	0.005	0.00002081	9	0.001	1.33E-06	0.039	0.001	0.0205	0.000306	185	69400	2	0.0065	0.00003168	11	0.001454545	1.92E-06	0.072	0.004	0.03	0.0006993	420	330070	2	0.0095	0.000074525	13	0.001920346	2.72E-06	0.0645	0.004	0.002904762	0.0007567	615.952381	324330	4	0.00625	3.85E-05	18	0.001666667	0.000002369	0.0755	0.005	0.0285	0.000697	470	430300	3	0.0095	0.00007198	13	0.001444444	2.00E-06
CIMBL151	tropical/subtropical	0.0825	0.005	0.036	0.001	465	400000	5	0.0094	0.000071734	12	0.00275	4.58E-06	0.085	0.006	0.032	0.0008169	530	518310	3	0.009	6.12E-05	13	0.002076923	3.07E-06	0.083	0.006	0.035	0.001	480	500000	5	0.0093	0.0000733	12	0.00275	4.72E-06	0.0485	170820	0.0195	0.0002918	290	0.002	3	0.006166667	0.00003036	7	0.001714286	2.27E-06	0.059	0.003	0.0205	0.0003172	385	268280	3	0.0065	3.28E-05	11	0.001341209	1.61E-06	0.052	0.002	0.0215	0.0003421	305	165790	4	0.006125	3.10E-05	10	0.0016	1.67E-06	0.092	0.007	0.039	0.001	530	600000	6	0.01	0.000074245	15	0.002	0.000003474	0.104	0.008	0.003904762	0.001	1000.952381	700000	6	0.008916667	0.000059665	14	0.002214286	4.60E-06	0.0955	0.007	0.0395	0.001	560	600000	6	0.008916667	6.06E-05	15	0.002333333	4.09E-06
CML116	tropical/subtropical	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.103	0.008	0.042	0.001	610	700000	4	0.0075	4.71E-05	13	0.002923077	6.30E-06	0.094	0.007	0.0375	0.001	565	600000	5	0.009	0.000063172	16	0.0025	4.67E-06	0.0585	260190	0.0225	0.0003981	360	0.003	4	0.005125	2.19E-05	11	0.001818182	2.35E-06	0.0725	0.004	0.0265	0.0005476	460	345240	3	0.0055	2.30E-05	10	0.0021	3.28E-06	0.0495	0.002	0.023	0.0004238	265	157620	3	0.006	2.86E-05	13	0.002	3.02E-06	0.0795	0.005	0.0355	0.0009917	440	400830	3	0.009666667	7.42E-05	14	0.003	6.17E-06	0.1125	0.009	0.004095238	0.002	1084.047619	700000	7	0.0065	3.54E-05	15	0.002466667	5.54E-06	0.0895	0.007	0.0385	0.001	510	600000	4	0.009125	0.000067105	14	0.002785714	5.07E-06
GEMS4	temperate	0.0865	0.006	0.033	0.0008966	535	510340	4	0.00875	0.00005935	14	0.002285714	5.00E-06	0.0945	0.007	0.0355	0.0009848	590	601520	4	0.008	5.10E-05	13	0.003	7.07E-06	0.1075	0.009	0.0395	0.001	680	800000	4	0.010125	0.000081595	13	0.002285714	7.27E-06	0.05	179490	0.016	0.0002051	340	0.002	1	0.0065	0.00003231	7	0.002	0.000003338	0.0665	0.003	0.021	0.0003435	455	265650	2	0.00725	0.000039615	9	0.002	3.44E-06	0.0455	0.002	0.016	0.0001914	295	180860	1	0.006	0.00002954	7	0.002	0.000002819	0.0995	0.008	0.04	0.001	595	700000	4	0.0125	0.0000737	16	0.0028125	5.74E-06	0.1175	0.01	0.004238095	0.002	1132.619048	800000	4	0.01075	9.36E-05	16	0.00325	8.94E-06	0.114	0.01	0.043	0.001	710	900000	4	0.01075	0.00009309	15	0.003066667	8.15E-06
B111	temperate	0.083	0.005	0.034	0.000909	490	409100	4	0.009	0.000060185	13	0.002	3.28E-06	0.076	0.005	0.034	0.0009198	420	408020	4	0.007375	4.17E-05	14	0.002	2.63E-06	0.0825	0.005	0.035	0.0009995	475	400050	4	0.009375	6.92E-05	15	0.001933333	2.95E-06	0.04	66700	0.021	0.000333	190	0.001	2	0.0085	0.000048945	8	0.002	2.33E-06	0.042	0.001	0.019	0.0002665	230	73350	2	0.006	0.00002675	8	0.00175	1.90E-06	0.0535	0.002	0.02	0.0003083	335	169170	2	0.0085	0.000051	8	0.001625	0.000002166	0.089	0.006	0.0415	0.001	475	500000	5	0.0095	0.000073396	13	0.002384615	4.31E-06	0.0825	0.005	0.003619048	0.001	788.8095238	400000	5	0.0072	0.000041304	14	0.002214286	3.28E-06	0.0845	0.006	0.0375	0.001	470	500000	5	0.0089	0.00005981	14	0.002285714	3.34E-06
GEMS49	temperate	0.1065	0.009	0.04	0.001	665	800000	5	0.01	0.000075992	15	0.002266667	4.43E-06	0.1045	0.008	0.041	0.001	635	700000	6	0.00775	0.000047915	15	0.002733333	6.18E-06	0.1005	0.008	0.0435	0.001	570	700000	4	0.011	0.000093625	0	0.002266667	6.75E-06	0.0405	85320	0.014	0.0001468	265	0.001	1	0.006	0.00002883	6	0.001666667	1.97E-06	0.0385	0.001	0.0175	0.0002304	210	76960	1	0.006	0.00002945	7	0.001	1.67E-06	0.0445	0.002	0.0145	0.0001799	300	182010	1	0.0065	0.00003033	6	0.001822333	2.05E-06	0.1025	0.008	0.044	0.002	585	600000	7	0.009571429	7.24E-05	16	0.001875	2.93E-06	0.094	0.007	0.003809524	0.001	901.9047619	600000	6	0.006916667	0.00003711	14	0.002	3.15E-06	0.113	0.009	0.0445	0.002	685	700000	6	0.009166667	0.00006643	17	0.002411765	4.74E-06
GEMS59	temperate	0.1075	0.009	0.043	0.001	645	800000	5	0.0103	0.00007945	12	0.0035	8.79E-06	0.1145	0.01	0.052	0.002	625	800000	4	0.011375	0.000093285	14	0.002785714	7.05E-06	0.105	0.009	0.0425	0.002	625	700000	5	0.0101	0.000077568	14	0.0035	8.77E-06	0.0665	337540	0.027	0.0006246	395	0.004	4	0.00725	4.07E-05	8	0.00275	0.000005231	0.0705	0.004	0.0275	0.0006214	430	337860	3	0.007333333	4.48E-05	11	0.002181818	4.53E-06	0.066	0.004	0.0255	0.0005221	405	347790	3	0.0075	4.46E-05	10	0.0023	3.89E-06	0.0925	0.007	0.043	0.001	495	600000	6	0.009583333	0.000072095	14	0.002928571	5.62E-06	0.1115	0.009	0.00447619	0.002	1070.238095	700000	6	0.011166667	9.46E-05	15	0.002933333	7.25E-06	0.119	0.01	0.0495	0.002	695	800000	6	0.011083333	9.79E-05	15	0.003333333	8.73E-06
