Trait1	Trait2	Trait3	Trait4	Trait5	Trait6	Trait7	Trait8	Trait9	Trait10	Trait11	Trait12	Trait13	Trait14	Trait15	Trait16	Trait17	Trait18	Trait19	Trait20	Trait21	Trait22	Trait23	Trait24	Trait25	Trait26	Trait27	Trait28	Trait29	Trait30	Trait31	Trait32	Trait33	Trait34	Trait35	Trait36	Trait37	Trait38	Trait39	Trait40	Trait41	Trait42	Trait43	Trait44	Trait45	Trait46	Trait47	Trait48	Trait49	Trait50	Trait51	Trait52	Trait53	Trait54	Trait55	Trait56	Trait57	Trait58	Trait59	Trait60	Trait61	Trait62	Trait63	Trait64	Trait65	Trait66	Trait67	Trait68	Trait69	Trait70	Trait71	Trait72	Trait73	Trait74	Trait75	Trait76	Trait77	Trait78	Trait79	Trait80	Trait81	Trait82	Trait83	Trait84	Trait85	Trait86	Trait87	Trait88	Trait89	Trait90	Trait91	Trait92	Trait93	Trait94	Trait95	Trait96	Trait97	Trait98	Trait99	Trait100	Trait101	Trait102	Trait103	Trait104	Trait105	Trait106	Trait107	Trait108
Y99	0.087315	0.00609	0.03487	0.000945545	4.61	0.00853778304	5.9153532e-05	13.14	0.00221979064	3.8054173e-06	0.0945	0.007	0.04	0.001	5	0.0091	6.0846e-05	14	0.002	3.82864e-06	0.0925	0.007	0.041	0.001	5	0.0098	7.192e-05	13	0.002846154	6.36823e-06	0.0605	0.003	0.0235	0.0004338	3	0.0075	4.02433e-05	9	0.002	3.74822e-06	0.0715	0.004	0.0235	0.0004424	3	0.005166667	2.092e-05	11	0.001636364	2.57664e-06	0.0437445652173913	0.00162153804347826	0.015945652173913	0.000215823152173913	2.01086956521739	0.0052287137826087	2.25679706521739e-05	7.75	0.0015064575	1.86944522826087e-06	0.0864405940594059	0.00602916237623762	0.0364405940594059	0.00104243735148515	6.13861386138614	0.00803871995049505	6.43556534653465e-05	15.3069306930693	0.00200501446534653	3.24707118811881e-06	0.106	0.008	0.004095238	0.001	6	0.00875	6.16267e-05	17	0.002705882	6.03194e-06	0.102	0.008	0.0475	0.002	6	0.009833333	7.27833e-05	17	0.003117647	6.93265e-06	524.45	514445.5	545	6e+05	515	6e+05	370	256620	480	355760	277.989130434783	140571.489130435	500	498672.502475248	1019.047619	7e+05	545	6e+05
Y104	0.082	0.005	0.0305	0.0007376	4	0.008	4.92275e-05	13	0.001923077	3.24169e-06	0.085	0.006	0.031	0.0007374	4	0.007625	4.79425e-05	13	0.001923077	3.04162e-06	0.0765	0.004	0.036	0.001	4	0.009375	5.7565e-05	11	0.002727273	5.59873e-06	0.047	0.002	0.015	0.0001776	1	0.007	4.336e-05	7	0.002	1.83114e-06	0.043421875	0.00159772395833333	0.0153958333333333	0.000207062395833333	2.0625	0.00454210070833333	1.78480946875e-05	7.54166666666667	0.00134849792708333	0.000657907381645833	0.047	0.002	0.015	0.0001763	1	0.0075	4.391e-05	7	0.001714286	2.12e-06	0.087	0.006	0.034	0.0008908	4	0.008375	5.4465e-05	14	0.001857143	2.817e-06	0.0895	0.006	0.003095238	0.0007984	4	0.008375	5.19075e-05	13	0.001538462	2.31923e-06	0.0895510204081633	0.00643877551020408	0.0368163265306122	0.00105913571428571	5.75510204081633	0.00822741737755102	5.43998602040816e-05	15.2959183673469	0.00202949065306122	3.37679867346939e-06	515	426240	540	526260	405	3e+05	320	182240	280.260416666667	139066.15625	320	182370	530	510920	864.047619	520160	527.34693877551	537963.979591837
Y105	0.076	0.004	0.031	0.0007891	4	0.008	5.114e-05	11	0.002	3.02618e-06	0.083	0.005	0.0355	0.0009618	3	0.009666667	7.01233e-05	11	0.002181818	4.33136e-06	0.092	0.006	0.038	0.001	5	0.0081	5.0634e-05	11	0.002636364	5.17273e-06	0.0355	0.001	0.0165	0.0002139	1	0.0075	4.493e-05	6	0.002	3.10467e-06	0.059	0.003	0.022	0.0004321	3	0.007	2.79867e-05	9	0.002	3.07689e-06	0.0437445652173913	0.00162153804347826	0.015945652173913	0.000215823152173913	2.01086956521739	0.0052287137826087	2.25679706521739e-05	7.75	0.0015064575	1.86944522826087e-06	0.085	0.006	0.0355	0.0009956	4	0.00925	6.48325e-05	10	0.0025	4.8555e-06	0.088680412371134	0.00630927835051546	0.00372336771134021	0.000983482474226804	5.42268041237113	0.00740272664948454	6.43126144329897e-05	14.9175257731959	0.00205092810309278	1.24515924123711e-05	0.0785	0.005	0.0355	0.001	4	0.009125	6.46575e-05	10	0.0029	5.8259e-06	450	321090	475	403820	540	5e+05	190	78610	370	256790	277.989130434783	140571.489130435	495	500440	849.570446756701	532579.587628866	430	4e+05
Y106	0.1	0.008	0.0465	0.002	8	0.0076875	5.0215e-05	16	0.0028125	7.05013e-06	0.0935	0.007	0.051	0.002	7	0.008285714	5.08886e-05	17	0.003058824	7.52671e-06	0.078	0.005	0.039	0.001	6	0.007666667	4.381e-05	16	0.0024375	4.74575e-06	0.0405	0.001	0.0125	0.0001344	2	0.004	1.15215e-05	6	0.001666667	1.59217e-06	0.036	0.0009797	0.011	9.308e-05	1	0.0035	1.004e-05	5	0.0014	1.7392e-06	0.042	0.001	0.0125	0.0001166	1	0.005	1.79e-05	6	0.001833333	2.187e-06	0.098	0.007	0.047	0.002	7	0.008642857	6.10586e-05	17	0.002823529	5.911e-06	0.099	0.008	0.004761905	0.002	5	0.0105	8.345e-05	17	0.003294118	7.52059e-06	0.1015	0.008	0.0495	0.002	7	0.009357143	6.851e-05	17	0.003	6.59794e-06	535	6e+05	425	5e+05	390	4e+05	280	86560	250	88662	295	88340	510	5e+05	942.3809524	6e+05	520	6e+05
Y109	0.087315	0.00609	0.03487	0.000945545	4.61	0.00853778304	5.9153532e-05	13.14	0.00221979064	3.8054173e-06	0.103	0.008	0.042	0.001	4	0.0075	4.70825e-05	13	0.002923077	6.29631e-06	0.094	0.007	0.0375	0.001	5	0.009	6.3172e-05	16	0.0025	4.6695e-06	0.0585	0.003	0.0225	0.0003981	4	0.005125	2.19453e-05	11	0.001818182	2.34809e-06	0.0725	0.004	0.0265	0.0005476	3	0.0055	2.30033e-05	10	0.0021	3.2787e-06	0.0495	0.002	0.023	0.0004238	3	0.006	2.86167e-05	13	0.002	3.02246e-06	0.0795	0.005	0.0355	0.0009917	3	0.009666667	7.41967e-05	14	0.003	6.17186e-06	0.1125	0.009	0.004095238	0.002	7	0.0065	3.53571e-05	15	0.002466667	5.53973e-06	0.0895	0.007	0.0385	0.001	4	0.009125	6.7105e-05	14	0.002785714	5.07086e-06	524.45	514445.5	610	7e+05	565	6e+05	360	260190	460	345240	265	157620	440	400830	1084.047619	7e+05	510	6e+05
Y111	0.1045	0.008	0.043	0.001	5	0.0095	7.6558e-05	16	0.0024375	3.714e-06	0.097	0.007	0.0385	0.001	4	0.009	6.045e-05	14	0.002283543	3.85879e-06	0.092	0.007	0.039	0.001	4	0.009875	7.4985e-05	14	0.002214286	4.33936e-06	0.0335	0.0008938	0.011	9.425e-05	1	0.005	1.687e-05	6	0.000994633	8.76917e-07	0.0365	0.000941	0.011	9.086e-05	1	0.005	1.835e-05	6	0.001	1.20305e-06	0.032	0.0007998	0.0115	0.000116	1	0.005	2.096e-05	6	0.0015	1.49392e-06	0.0975	0.008	0.043	0.001	5	0.0102	8.2528e-05	15	0.002333333	3.57687e-06	0.107	0.008	0.003809524	0.001	6	0.00725	4.2405e-05	15	0.002066667	4.28793e-06	0.1195	0.01	0.0475	0.002	5	0.0108	9.4044e-05	14	0.002642857	5.53264e-06	615	7e+05	585	6e+05	530	6e+05	225	79955	255	85014	205	68380	545	7e+05	1031.904762	7e+05	720	8e+05
Y112	0.087315	0.00609	0.03487	0.000945545	4.61	0.00853778304	5.9153532e-05	13.14	0.00221979064	3.8054173e-06	0.07	0.004	0.0285	0.0006464	6	0.0065	3.00667e-05	13	0.001615385	2.06485e-06	0.074	0.004	0.031	0.0007721	5	0.0073	3.92e-05	13	0.001923077	3.17346e-06	0.059	0.003	0.0215	0.0003685	3	0.006333333	3.08467e-05	8	0.00175	1.8225e-06	0.043421875	0.00159772395833333	0.0153958333333333	0.000207062395833333	2.0625	0.00454210070833333	1.78480946875e-05	7.54166666666667	0.00134849792708333	0.000657907381645833	0.061	0.003	0.023	0.0004147	3	0.006666667	3.42333e-05	9	0.001327311	1.96494e-06	0.059	0.003	0.0215	0.0003685	6	0.008083333	5.00133e-05	18	0.002111111	2.96194e-06	0.082	0.005	0.0355	0.001	5	0.0086	5.5864e-05	16	0.001484619	1.97516e-06	0.082	0.005	0.0355	0.001	5	0.0078	4.7484e-05	18	0.001277778	1.53669e-06	524.45	514445.5	415	335360	430	322790	375	263150	280.260416666667	139066.15625	380	258530	375	263150	465	4e+05	465	4e+05
Y113	0.0875	0.006	0.0415	0.001	5	0.0108	8.6788e-05	13	0.002076923	3.714e-06	0.0805	0.005	0.033	0.0009164	6	0.006083333	2.2942e-05	14	0.002571429	3.7935e-06	0.0867450980392157	0.00614216078431373	0.0342941176470588	0.000923273235294118	4.62745098039216	0.00841809641176471	5.71188656862745e-05	12.5882352941176	0.0022161952254902	3.92966245098039e-06	0.0325	0.0009454	0.0155	0.0002067	2	0.005	1.8565e-05	6	0.001833333	2.01117e-06	0.047	0.002	0.0175	0.0002415	3	0.0055	2.20167e-05	8	0.001875	2.267e-06	0.0405	0.001	0.016	0.0002023	2	0.006	2.7485e-05	7	0.001857143	2.09026e-06	0.0325	0.0009454	0.0155	0.0002067	8	0.0100625	7.69863e-05	17	0.002411765	3.86224e-06	0.09	0.006	0.003761905	0.001	6	0.008833333	6.10033e-05	17	0.002117647	3.61871e-06	0.103	0.008	0.047	0.002	7	0.0105	8.698e-05	19	0.002263158	3.74511e-06	460	5e+05	475	408360	524.509803921569	521888.754901961	170	73870	295	175850	245	79770	170	73870	862.3809524	5e+05	560	6e+05
Y117	0.0835	0.005	0.0385	0.001	5	0.0078	4.6622e-05	15	0.002533333	4.4828e-06	0.092	0.006	0.0425	0.001	5	0.0083	5.299e-05	15	0.002133333	3.88673e-06	0.0775	0.005	0.037	0.001	5	0.0071	3.381e-05	14	0.002071429	3.48093e-06	0.0565	0.003	0.024	0.0004333	3	0.0075	4.409e-05	9	0.002333333	3.64889e-06	0.0555	0.002	0.0265	0.0005458	4	0.00625	2.936e-05	9	0.001309333	1.34229e-06	0.0437445652173913	0.00162153804347826	0.015945652173913	0.000215823152173913	2.01086956521739	0.0052287137826087	2.25679706521739e-05	7.75	0.0015064575	1.86944522826087e-06	0.093	0.007	0.0445	0.002	6	0.009833333	7.70717e-05	17	0.002294118	4.04394e-06	0.078	0.004	0.003047619	0.0007591	6	0.006083333	2.23233e-05	18	0.002	2.98672e-06	0.09	0.007	0.0415	0.001	6	0.009583333	7.2965e-05	16	0.002625	4.81713e-06	450	4e+05	495	5e+05	405	4e+05	325	256670	290	145420	277.989130434783	140571.489130435	485	5e+05	749.5238095	324090	485	6e+05
Y118	0.0655	0.003	0.037	0.001	3	0.010833333	8.88767e-05	13	0.002538462	4.13946e-06	0.071	0.004	0.0295	0.0007139	3	0.008166667	2.51333e-05	13	0.002384615	4.182e-06	0.074	0.005	0.0345	0.0009401	4	0.008	4.8255e-05	13	0.002615385	4.17146e-06	0.0405	0.001	0.0165	0.0002137	1	0.0075	4.203e-05	7	0.002	2.33786e-06	0.0415	0.001	0.0185	0.0002596	3	0.003666667	1.04327e-05	7	0.001857143	2.26629e-06	0.0437445652173913	0.00162153804347826	0.015945652173913	0.000215823152173913	2.01086956521739	0.0052287137826087	2.25679706521739e-05	7.75	0.0015064575	1.86944522826087e-06	0.0755	0.004	0.035	0.0009725	5	0.0084	5.289e-05	12	0.00225	4.64917e-06	0.076	0.005	0.003	0.0007522	5	0.0056	2.6634e-05	12	0.002	2.90408e-06	0.066	0.004	0.0375	0.001	8	0.0076875	4.62775e-05	18	0.001777778	2.38272e-06	285	2e+05	415	328610	395	405990	240	78630	230	74040	277.989130434783	140571.489130435	405	302750	730	424780	285	3e+05
Y119	0.075	0.004	0.0395	0.001	6	0.00825	5.27917e-05	13	0.002538462	4.76769e-06	0.066	0.003	0.036	0.001	8	0.0074375	4.22275e-05	18	0.0015	1.87739e-06	0.077	0.005	0.0385	0.001	6	0.009083333	6.71367e-05	14	0.002214286	3.81207e-06	0.0565	0.002	0.0255	0.0005058	4	0.005625	2.50925e-05	16	0.001625	1.75724e-06	0.062	0.003	0.023	0.0003888	4	0.004875	2.1779e-05	10	0.0017	2.1863e-06	0.0555	0.002	0.024	0.0004697	4	0.0065	3.47525e-05	15	0.001587353	2.02473e-06	0.0864405940594059	0.00602916237623762	0.0364405940594059	0.00104243735148515	6.13861386138614	0.00803871995049505	6.43556534653465e-05	15.3069306930693	0.00200501446534653	3.24707118811881e-06	0.098	0.008	0.003666667	0.001	7	0.006928571	3.61029e-05	17	0.001647059	2.31953e-06	0.088	0.005	0.039	0.001	7	0.009	6.12014e-05	18	0.001885822	2.87137e-06	355	3e+05	300	2e+05	385	4e+05	310	149420	390	261120	315	153030	500	498672.502475248	943.3333333	7e+05	490	4e+05
Y120	0.1175	0.01	0.0465	0.002	5	0.0128	0.000124254	13	0.002384615	4.25469e-06	0.111	0.009	0.042	0.001	4	0.011125	0.000101673	13	0.002692308	5.451e-06	0.115	0.009	0.045	0.002	5	0.0125	0.00011708	13	0.002769231	5.59869e-06	0.064	0.003	0.028	0.0006191	4	0.00825	5.34975e-05	9	0.002222222	3.93011e-06	0.0535	0.002	0.018	0.0002531	2	0.00725	3.977e-05	7	0.002	2.74857e-06	0.056	0.002	0.022	0.0003645	4	0.005875	2.86275e-05	9	0.001888889	1.94511e-06	0.085	0.006	0.044	0.002	7	0.010857143	8.79443e-05	14	0.002642857	4.70736e-06	0.1115	0.009	0.004190476	0.002	6	0.011166667	9.6075e-05	14	0.002428571	3.63971e-06	0.0995	0.007	0.042	0.001	8	0.0093125	6.36263e-05	16	0.0023125	3.94744e-06	710	8e+05	690	8e+05	700	7e+05	360	238090	355	174690	340	163550	410	4e+05	1073.095238	7e+05	575	6e+05
Y121	0.095	0.007	0.0355	0.0009323	4	0.007	3.9815e-05	12	0.002	2.88817e-06	0.0755	0.004	0.027	0.0005795	6	0.004166667	1.45165e-05	15	0.001256273	1.45121e-06	0.0835	0.006	0.0315	0.0007935	4	0.006625	3.4985e-05	12	0.0015	1.66679e-06	0.0415	0.001	0.013	0.0001378	3	0.003666667	9.3e-06	6	0.0009715	9.18817e-07	0.031	0.0007844	0.009	8.365e-05	4	0.0015	2.81275e-06	7	0.000797514	4.97957e-07	0.044	0.002	0.0135	0.0001497	1	0.004	1.725e-05	11	0.0008978	8.67782e-07	0.0855	0.006	0.0355	0.001	6	0.006	2.81745e-05	15	0.001733333	2.18847e-06	0.084	0.006	0.002761905	0.0006781	6	0.00425	1.52667e-05	16	0.001022331	1.05072e-06	0.087	0.006	0.034	0.0009049	6	0.006666667	3.66767e-05	15	0.00159862	1.74741e-06	595	606770	485	342050	520	520650	285	86220	220	70075	305	185030	500	5e+05	812.3809524	532190	530	509510
Y122	0.0875	0.006	0.0285	0.0007158	4	0.007375	4.32825e-05	11	0.002	3.56155e-06	0.069	0.004	0.0285	0.0006021	4	0.0065	3.2895e-05	12	0.001833333	2.52535e-06	0.091	0.007	0.03	0.0006959	4	0.007375	4.40625e-05	14	0.001785714	2.74707e-06	0.043078125	0.00160885416666667	0.0159010416666667	0.00039732625	2.05208333333333	0.00513263889583333	2.22375885416667e-05	7.27083333333333	0.00151103478125	1.86611648958333e-06	0.042	0.001	0.0115	0.0001064	1	0.005	1.88e-05	7	0.0009712	1.02e-06	0.041	0.001	0.0135	0.0001455	1	0.006	2.4e-05	6	0.001619433	1.7653e-06	0.078	0.005	0.0305	0.0007124	5	0.0066	3.5772e-05	13	0.002	2.39654e-06	0.09	0.007	0.003095238	0.0008168	5	0.0062	3.1704e-05	17	0.001705882	2.42988e-06	0.0855	0.006	0.033	0.0008499	6	0.007083333	3.8965e-05	18	0.001489644	1.86843e-06	590	528420	405	339790	610	630410	271.770833333333	138168.416666667	305	89360	275	85450	475	428760	869.047619	618320	525	515010
Y124	0.0675	0.003	0.0285	0.0006119	4	0.0085	5.33975e-05	12	0.001583333	1.77002e-06	0.077	0.005	0.0305	0.000717	5	0.0066	3.8076e-05	13	0.002	2.34638e-06	0.0715	0.004	0.0285	0.0006615	4	0.00825	5.02175e-05	12	0.0015	1.9285e-06	0.043078125	0.00160885416666667	0.0159010416666667	0.00039732625	2.05208333333333	0.00513263889583333	2.22375885416667e-05	7.27083333333333	0.00151103478125	1.86611648958333e-06	0.048	0.002	0.0165	0.0002069	3	0.0035	1.08767e-05	10	0.00105257	1.16685e-06	0.057	0.003	0.019	0.0002722	3	0.005166667	2.00667e-05	9	0.001532022	1.69656e-06	0.069	0.004	0.028	0.0006214	7	0.005571429	2.42614e-05	16	0.001271238	1.39738e-06	0.079	0.005	0.002333333	0.0004713	4	0.00675	3.708e-05	11	0.001727273	2.14573e-06	0.0705	0.004	0.0275	0.000607	7	0.006071429	2.89129e-05	16	0.0014375	1.70163e-06	390	238810	465	428300	430	333850	271.770833333333	138168.416666667	315	179310	380	272780	410	337860	766.6666667	452870	430	339300
Y125	0.076	0.005	0.029	0.0006597	4	0.007875	4.79975e-05	12	0.002	2.92517e-06	0.0995	0.008	0.032	0.0008455	4	0.00725	4.135e-05	14	0.002142857	3.20443e-06	0.087	0.006	0.034	0.0009114	5	0.0082	5.0328e-05	14	0.002285714	3.58764e-06	0.035	0.001	0.011	9.58e-05	1	0.004	1.323e-05	6	0.001	1.3305e-06	0.037	0.001	0.0145	0.0001569	1	0.005	2.04e-05	7	0.002	2.41357e-06	0.0335	0.0008776	0.013	0.0001303	1	0.005	2.379e-05	7	0.0015714	1.52861e-06	0.089	0.006	0.0415	0.001	7	0.008285714	5.22029e-05	17	0.002	3.04035e-06	0.08	0.005	0.00347619	0.001	7	0.006642857	3.35314e-05	17	0.002058824	3.01676e-06	0.082	0.006	0.036	0.001	6	0.00775	4.754e-05	15	0.001866667	3.05e-06	470	434030	675	715450	530	508860	240	90420	225	84310	205	74730	475	5e+05	765.2380952	4e+05	460	5e+05
Y127	0.0815	0.005	0.0365	0.001	6	0.008	5.07933e-05	16	0.002181456	3.6275e-06	0.064	0.003	0.028	0.0006124	4	0.0065	3.558e-05	12	0.001916667	2.90208e-06	0.074	0.004	0.0275	0.0005675	4	0.007625	4.26675e-05	13	0.001846154	2.48254e-06	0.0345	0.0009737	0.0125	0.0001257	2	0.00425	1.44265e-05	7	0.000992529	1.02151e-06	0.0335	0.0008835	0.0115	0.0001112	1	0.0045	1.678e-05	6	0.0015	1.63633e-06	0.033	0.0008998	0.0115	0.0001068	1	0.005	1.807e-05	6	0.001	1.09102e-06	0.0805	0.005	0.0335	0.0008506	6	0.006916667	3.89317e-05	15	0.001933333	2.35427e-06	0.087	0.006	0.003285714	0.0009407	6	0.007	3.9685e-05	16	0.001625	2.48219e-06	0.084	0.006	0.0345	0.0009856	7	0.007285714	4.03386e-05	17	0.001823529	2.20953e-06	450	4e+05	360	238760	465	343250	220	84800	220	77230	215	79300	470	414940	837.1428571	505930	495	501440
Y128	0.0975	0.007	0.0355	0.0009842	4	0.008125	4.854e-05	13	0.001923077	2.23308e-06	0.0755	0.004	0.0285	0.0006707	5	0.0062	3.0988e-05	13	0.001	1.26573e-06	0.092	0.007	0.0295	0.000691	4	0.007125	4.05025e-05	11	0.001454545	1.88136e-06	0.0485	0.002	0.019	0.0002913	3	0.004333333	1.441e-05	9	0.001092433	1.50353e-06	0.043421875	0.00159772395833333	0.0153958333333333	0.000207062395833333	2.0625	0.00454210070833333	1.78480946875e-05	7.54166666666667	0.00134849792708333	0.000657907381645833	0.053	0.002	0.0195	0.0003079	3	0.005333333	2.29567e-05	8	0.0015	1.91225e-06	0.0935	0.007	0.036	0.001	6	0.0075	4.65167e-05	15	0.001666667	2.19907e-06	0.089	0.006	0.002952381	0.0006914	6	0.005	1.71183e-05	16	0.0014375	1.83844e-06	0.102	0.008	0.034	0.0009339	6	0.007333333	3.76767e-05	15	0.00133106	1.61323e-06	620	601580	470	332930	625	630900	295	170870	280.260416666667	139066.15625	335	169210	575	6e+05	860.4761905	530860	680	706610
Y131	0.062	0.003	0.024	0.0004491	5	0.0052	2.2144e-05	11	0.001453882	1.56698e-06	0.0625	0.003	0.024	0.0004503	4	0.005125	1.9795e-05	11	0.001818182	2.26291e-06	0.065	0.003	0.0255	0.0005145	5	0.0063	3.2138e-05	11	0.001909091	2.53082e-06	0.03	0.0007004	0.0095	7.747e-05	1	0.004	1.038e-05	5	0.00099886	9.044e-07	0.034	0.0009453	0.0105	7.651e-05	2	0.00275	4.636e-06	5	0.00098994	1.0418e-06	0.0315	0.0007885	0.01	8.396e-05	1	0.003	8.273e-06	5	0.00099386	1.23968e-06	0.076	0.004	0.031	0.000762	6	0.006416667	3.15133e-05	13	0.001846154	2.49838e-06	0.056	0.002	0.002095238	0.0003961	4	0.005	1.8495e-05	13	0.001461538	1.49384e-06	0.069	0.004	0.027	0.0005927	4	0.00675	3.381e-05	13	0.001840462	2.82223e-06	380	255090	385	254970	395	248550	205	62293	235	86879	215	70454	450	323800	539.047619	160390	420	340730
Y133	0.083	0.005	0.034	0.000909	4	0.009	6.0185e-05	13	0.002	3.28285e-06	0.076	0.005	0.034	0.0009198	4	0.007375	4.16525e-05	14	0.002	2.63186e-06	0.0825	0.005	0.035	0.0009995	4	0.009375	6.92425e-05	15	0.001933333	2.94847e-06	0.04	0.001	0.021	0.000333	2	0.0085	4.8945e-05	8	0.002	2.32663e-06	0.042	0.001	0.019	0.0002665	2	0.006	2.675e-05	8	0.00175	1.90488e-06	0.0535	0.002	0.02	0.0003083	2	0.0085	5.1e-05	8	0.001625	2.166e-06	0.089	0.006	0.0415	0.001	5	0.0095	7.3396e-05	13	0.002384615	4.30554e-06	0.0825	0.005	0.003619048	0.001	5	0.0072	4.1304e-05	14	0.002214286	3.27514e-06	0.0845	0.006	0.0375	0.001	5	0.0089	5.981e-05	14	0.002285714	3.33507e-06	490	409100	420	408020	475	400050	190	66700	230	73350	335	169170	475	5e+05	788.8095238	4e+05	470	5e+051.10782e-06	0.044	0.002	0.016	0.0001861	1	0.0075	3.96e-05	7	0.001857143	2.20586e-06	0.0945	0.007	0.0365	0.001	6	0.009166667	6.57183e-05	16	0.0018125	2.90194e-06	0.088680412371134	0.00630927835051546	0.00372336771134021	0.000983482474226804	5.42268041237113	0.00740272664948454	6.43126144329897e-05	14.9175257731959	0.00205092810309278	1.24515924123711e-05	0.0865	0.006	0.0365	0.001	5	0.0102	7.4516e-05	15	0.0022	3.81227e-06	415	4e+05	490	5e+05	465	5e+05	235	87590	255	90105	280	181390	580	6e+05	849.570446756701	532579.587628866	500	5e+05
