pred2 ProjArea
1 18.3345143475479 25.55
2 19.0726102964803 19.93
3 14.4353427296886 12.23
4 22.0638439440625 33.88
5 16.8221192962799 24.1
6 23.7468302550906 26.4
7 23.1427117826858 16.03
8 16.7245412974676 13.42
9 17.6042635318689 29.93
10 14.4313078868122 14.48
11 22.1660277486497 19.72
12 26.1313727230613 34.51
13 15.4826015728578 17.89
14 18.4937634180371 29.93
15 12.8755953270912 8.48
16 22.9002652710688 30.96
17 13.0064981842341 8.73
18 18.5498980513931 23.43
19 19.7059941197691 20.95
20 23.0105229804904 18.96
