"RMSE" "Rsquared" "MAE" "Resample"
"1" 0.134836519390735 0.767193401582101 0.0870304128997937 "Fold01.Rep1"
"2" 0.0925822891319499 0.648952318188943 0.0746321037281003 "Fold02.Rep1"
"3" 0.148569735217204 0.00566848505675951 0.109611500422307 "Fold03.Rep1"
"4" 0.155941109699163 0.00258473843273098 0.139767371053057 "Fold04.Rep1"
"5" 0.119951549593291 0.327416690836014 0.106723593615062 "Fold05.Rep1"
"6" 0.258672117010338 0.189820473196169 0.186730187736455 "Fold06.Rep1"
"7" 0.126812011257629 0.153379287870857 0.11594553915717 "Fold07.Rep1"
"8" 0.121237827729749 0.0102690778549358 0.100731950451605 "Fold08.Rep1"
"9" 0.12658541887983 0.0012213610009597 0.10070966903066 "Fold09.Rep1"
"10" 0.109129348459797 0.325666459183926 0.0886591813109873 "Fold10.Rep1"
