pred2 RootVolume_PR
1 0.263895428938107 0.26
2 0.318152877413264 0.18
3 0.363269434658908 0.37
4 0.328357100549949 0.29
5 0.242924316881948 0.24
6 0.419160558806519 0.49
7 0.3371236789595 0.35
8 0.504852658569501 0.45
9 0.29468145622867 0.19
10 0.307588965860421 0.34
11 0.356792709124381 0.3
12 0.346876093852828 0.57
13 0.284234897879898 0.13
14 0.477527610021557 0.47
15 0.384239832159585 0.46
16 0.218351400245781 0.18
17 0.391871861267388 0.4
18 0.306311131716581 0.21
19 0.31344329980477 0.37
