"RMSE" "Rsquared" "MAE" "Resample"
"1" 6.62594512475073 0.190136192011931 5.73047767285384 "Fold01.Rep1"
"2" 6.90893789709073 0.143132967387338 5.74638520044756 "Fold02.Rep1"
"3" 5.4982459653084 0.402941806158854 4.18249658639778 "Fold03.Rep1"
"4" 7.23158229413857 0.300832883701409 5.81893082621789 "Fold04.Rep1"
"5" 8.25608786289307 0.00142330297715856 6.26474861654385 "Fold05.Rep1"
"6" 7.51206200113162 0.250636663507286 5.91557188374126 "Fold06.Rep1"
"7" 10.0560987292655 0.00633120870448017 7.65051192423461 "Fold07.Rep1"
"8" 10.5864236638154 0.062954842732822 7.5302328727065 "Fold08.Rep1"
"9" 7.13009626828985 0.121798091259244 6.29899654945265 "Fold09.Rep1"
"10" 8.01000537233694 0.00297147516100116 7.17493464172652 "Fold10.Rep1"
